
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
98,1998-02-01,,동두천,경기도 동두천시방죽로 16-47동두천서비스센터  ,수도권기상청(119),37.9019,127.0607,115.62,116.740,1.700,10.000,1.000
99,2013-10-22,,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,수도권기상청(119),37.8859,126.7665,30.59,31.990,1.700,10.000,1.000
99,2001-12-07,2013-10-22,문산,경기도 파주시문산읍 마정로46-29(파주기상대)  ,파주기상대(99),37.8859,126.7665,29.42,31.400,1.700,10.000,0.500
119,2019-07-24,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.810,1.600,18.700,1.100
119,1964-01-01,2019-07-24,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.840,1.600,18.700,1.100
202,1972-01-11,,양평,경기도 양평군 양평읍 시민로20번길 14-1양평자동기상관측소,수도권기상청(119),37.4886,127.4945,47.26,48.760,1.900,10.000,0.600
203,1972-01-11,,이천,경기도 이천시부발읍 대산로546번길 8 이천기상서비스센터,수도권기상청(119),37.264,127.4842,80.09,81.590,1.800,10.000,0.600
